text,sentiment
"the terrorist must destroy any genetic remains on the junkie to keep the key to her code a secret . 
",neut
"but later that year she was gunned down by assasins hired by the same criminal drug lords she exposed . 
",neut
"fourteen-year-old misfit farm boy duncan midge ( hirsch ) is trying to cope with his mother's death . 
",neut
"a woman who again is able to let love into her heart . 
",neut
"thornton stars as a man who is free after serving 19 years for killing a teenager during an attempted robbery . 
",neut
"the story begins in the demilitarised zone between north and south korea with a spectacular high-speed hovercraft chase and continues via hong kong to cuba and london where bond meets up with the two ladies who are to play such important and differing roles in his quest to unmask a traitor and to prevent a war of catastrophic consequence . 
",neut
"only one person can eventually solve the crisis : stefan balsiger himself . 
",neut
"setting accounts with shaman - a big criminal boss , who ordered the evidence planted and also with his former colleagues was not a part of korenev's agenda . 
",neut
"as each wait for a bus to new york city it is soon clear they are both hiding dark secrets while running from the past . 
",neut
"but slowly , their teenage-son alan ( kristian horn ) got suspicious that henry isn't his father . 
",neut
"the sisters of st john of god have maintained a presence in the kimberley for nearly 100 years . 
",neut
"finally , the unequal lovers end up as fugitives from justice - but for how long ? 
",neut
"the roadworkers are mates from way back , and each weekend they go out to an old goldmining site hoping to strike it rich . 
",neut
"they team up and live their lives in the fast lane on the run . 
",neut
"what he doesn't expect is to get teamed up with a cocky civilian , world class boxing champion kelly robinson ( eddie murphy ) , on a dangerous top secret espionage mission . 
",neut
"kilo is now a free man and a new father with a drug franchise covering both coasts . 
",neut
"then , in 1974 , something incredible happened - they fell in love . 
",neut
"as rachel and daniel race through london's nightscape , desperate to stay one step ahead of betts , every discovery unleashes further hell , extending way beyond the disappearance of rachel's baby . 
",neut
"however after his son is witness to a killing he has done mike sullivan finds him self on the run trying to save the life of his son and at the same time looking for revenge on those who wronged him . 
",neut
"hank azaria and vincent d'onofrio also star as does screenwriter/comedienne heather morgan as the canine wife . 
",neut
"add to the mix a sob sister , roxie's hapless husband amos , and a warm prison matron who watches out for her girls ( if there's something in it for her ) , and you have chicago . 
",neut
"docu-drama based on the life of ted bundy , a serial killer who killed at least 19 young women during the 1970's ( though some sources say as many as 30 to 35 were murdered ) . 
",neut
"when his only friend and co-worker dies , a young man born with dwarfism moves to an abandoned train depot in rural new jersey . 
",neut
"harry , a world-weary career criminal masquerading as a priest , takes to the road with escaped convict nate and his jailbait girlfriend angel . 
",neut
"jimmy sees the tv proposal and returns to town convinced that he can change her mind , however he faces formidable opposition from almost every side . 
",neut
"both undauntedly take a sardonic , action-packed jaunt with plenty of gunplay and intrigue with an unforgettable cast of characters after marko's trusting wife ashe ( robyn adamsom ) discovers that these two deviants of social behavior have bet her entire life savings of 3 , 000 bucks on an nba play-off game . 
",neut
"the cooler is bernie lootz ( william h . macy ) , and the cooler is a love story about the changing fortunes of this down-at-heels loser who has made a career out of spreading his virulent bad luck on the floor of las vegas' aging shangri-la casino . 
",neut
"it's a race against the clock as jay must convince kay--who not only has no memory of his time spent with the agency , but is also the only person alive who has the expertise to save the galaxy--to reunite with the mib before earth is destroyed completely . 
",neut
"a few questionable actions later on both parties' part , they finally start questioning their actions and their lives . 
",neut
"although a number of these laws have been overturned by legislatures or the courts , in the state of texas freedom fighters are still working to eliminate these absurd and unnecessary laws . 
",neut
"with her as a mentor he gains confidence and strength of character . 
",neut
"a young man is struggling to get over harmful memories from his childhood , but while doing so discovers a technique that allows him to travel back in time and occupy his childhood body changing his history forever . 
",neut
"an edgy indie-psychological drama about an alluring but mixed-up l . a . girl who flip-flops between facing life's uncertainty under her own direction or "" the good life "" provided by a wealthy , disturbing middle-aged benefactor . 
",neut
"uncompromising in his work , sullivan is just as devoted to his private life as an upstanding husband and father of two young boys . 
",neut
"she wants justice and will do anything to get it . 
",neut
"the setting is new york's five points , the most violent part of the world at the time . 
",neut
"she also has an ulcer and doesn't get much sleep . 
",neut
"amerika , zed and kyle are good friends until the excitingly undermedicated bitch goddess trasha enters the frame , cutting kyle off from his friends and their vacuous and unencumbered world of beer and porn . 
",neut
"as she tries to clear her name , she uncovers information that leads to more murders and more unanswered questions . 
",neut
"as austin chases dr . evil , mini-me and goldmember through time , he stops in 1975 to "" connect "" with an old girlfriend , detective foxy cleopatra , and requests her help to track the villains and save his father . 
",neut
"she silently waits , filled with fear and fading hope for the fate of a loved one , her son , who will never return . 
",neut
"will she get it , or will death get her first ? 
",neut
"the pretense is that her father jake is dying . 
",neut
"the film is based on the true story of telecommunications genius walter l . shaw sr . and his son walter t . shaw jr . , the confessed "" dinner time burglar . "" 
",neut
"it also touches on the encroachment of christianity brought by the missionaries , which is at odds with mepe's tribal and traditional roots . 
",neut
"stryker puts into motion a plan to eradicate the mutants and begins an offensive on the x-men mansion and school . 
",neut
"daphne , a seventeen-year-old girl from new york goes to england in search of her father , who does not know he had a child with an american girlfriend he met while working in morocco , and whose aristocratic family did not approve of the woman . 
",neut
"outside , another man sits by the door keeping vigil . 
",neut
"to do so , he decides to ape her behaviors , right down to wearing her fur coat to bed . 
",neut
"former world-rallye-champion walter and his daughter natascha are kidnapped by arab terrorists and brought to berlin . 
",neut
" "" in life , we first organize large stones ( piedras ) such as love , friendship , family , and a career . "" 
",neut
"after he's dumped on valentine's day by mallory , his girlfriend of three years , charlie finds himself obsessed and unable to live a normal life without her . 
",neut
"her recent divorce has left her with terminal writer's block and extremely depressed , and her best friend , patti , is beginning to think she might never recover . 
",neut
"although forcibly baptized , the sisters are chased through christendom until they arrive in venice . 
",neut
"vince's flood of memories about sara's disappearance is brought on when he happens upon 10-year-old ellen , one of julie's students . 
",neut
"she soon finds out it's hard to get to know him , or even to get nearby him ! 
",neut
"many cannot hold a job , or choose not to . 
",neut
"but when the cockettes flew to new york city to appear off broadway^&#197 ; well , you'll just have to see what happened when new yorkers took a look at them . 
",neut
"through time travel wells and twain team up with sir arthur conan doyle and a young jules verne and wind up in the year 2001 seeing results of their writings that help in their attempts to find dr . noah and save the world from destruction . 
",neut
"eddie is investigated and forced to exile himself from his family until the matter is dealt with . 
",neut
"dr . david gale , an advocate of eliminating the death penalty , is falsely accused of rape and murder . 
",neut
"after six months at sea on an unassisted solo circumnavigation , georgia perry's 44-foot sloop is becalmed for several days . 
",neut
"a rebellious misfit , she is sent to summer camp by her frustrated parents . 
",neut
"soon she finds herself in the most bizarre situations like doing "" harry &#38 ; sally "" 's famous faked orgasm scene , judging everyone , starting fights and visiting the theatre to find out her boyfriend is "" doing "" other girls on stage . 
",neut
"like it or not , anne marie starts losing her balance - and finding it - as she falls for matt . 
",neut
"a documentary which revolves around a shelter for battered women in tampa , florida . 
",neut
"scared of death , winnie must choose between being immortal and being with jesse or following the circle of life and dying someday . 
",neut
"provided with a blurry picture of william the media turns his ministry into a human interest story that spans the country in a massive media hunt for this "" miracle man "" . 
",neut
"in this movie , de niro plays mitch preston , a hard-nosed , hardworking police detective . 
",neut
"enter jack ( sarsgaard ) , a wall street investment banker with a business proposal that has victor's name ( and money ) written all over it . 
",neut
" ( hamlet ) privilege seeks to produce a subliminal confrontation with its ever-shifting subject matter , much as the body is reputed to create vortexes of healing and repose in response to traumas . 
",neut
"the people want to lynch him and blueberry can only just prevent that . 
",neut
"in a small fishing village an established fishmonger , davis , starts to have his supply bought from under him by new boy alan leech . 
",neut
"as the days count down , francis comes face to face with his own fear of failure and the spectre of selling out his dreams . 
",neut
"extremes of intimacy and spectacle , tragedy and hope fuse in a tidal wave of visuals and music , giving rise to a unique , artistic experience that reflects the vision of a brave new globalized world . 
",neut
"skagerrak is the story of being hit by happiness when you least expect it . 
",neut
"the result of a weekend affair he had back at the height of his fame produced olivia , a newpaper delivery girl for the south wales echo . 
",neut
"stitch as the new family member brings quite some action into all their lifes , and after a while , not even pleakley and dr . jookiba can recognize their former target . 
",neut
"a 19th century insane asylum is memorialized by a captivating montage of inventories , histories , and brain surgeries . 
",neut
"mnemosyne bears witness to the forces of destruction as well as of creation , revealing through art , the multi-dimensionality of women . 
",neut
"anna obtains a retraining order against her stalker but she still worries about him , huddled outside her home on a cold , windy night . 
",neut
"dr singh's son ( anil kapoor ) stands by his father helping him raise funds for his fathers dream , with the sudden death of dr singh his son falls into a dilemma mainly because of the two ladies involved ( preity zinta &#38 ; gracy singh ) and his father's dream that is yet to be fulfilled . 
",neut
"now , kimberly , along with the other survivors , must find a way to save themselves . . . 
",neut
"his big brother george has also made a new friend , will , so stuart is feeing lonely . 
",neut
"living in a hidden illegal migrant camp in southern california with her brother and sister , evelia becomes a witness to murder involving international spies . 
",neut
"he falls for hunky diner owner matt , who falls just as hard back . 
",neut
"handsome , charming and undeniably self-absorbed , he treats her more like a nanny than a harvard law grad and can barely choose a tie without her help . 
",neut
"vicious , the future descendant of james and jessie of team rocket , travels back in time to wreak havoc , and it's up to young ash , pikachu and friends to stop him . 
",neut
"in 1977 , during anita bryant's crusade , an anti-gay book alan wrote years before gets published without his consent . 
",neut
"he is at a loss to describe what he may have seen to the police , to ellen's mother , to himself . 
",neut
"so as she tries to open the door for the last time , it just won't open . . . 
",neut
"this undercover documentary takes you deep into the controversial arena of backyard wrestling where the limits are constantly being tested . . . and 
",neut
"she's a brilliant lawyer with a sharp , strategic mind . 
",neut
"a smart comedy about a day in the life of a barbershop on the south side of chicago . 
",neut
"can the three dons outwit them and not get bluffed by their obvious charms ? 
",neut
