text,sentiment
"chris forces mitchell to deliver guns and drugs while he hangs out on a rooftop and freaks out all day . 
",neut
"in a futuristic world , a strict regime has eliminated war by suppressing emotions : books , art and music are strictly forbidden and feeling is a crime punishable by death . 
",neut
"this was a time when dialogue became a new challenge . 
",neut
"erin , who we discover is a master manipulator of the men in the gang , reveals another side to jack - a melancholy romantic who could have been a classical pianist . 
",neut
"however he's cauught by the mexican secret police and is forced to infiltrate a gruop political activist in the movement of 68 . 
",neut
"based on the philip k . dick short story of the same name , it follows the lead character spencer olham's quest to regain his identity after being suspected as an alien android , in an future earth at war with aliens that use the androids as bombs to destroy their enemies homeworlds . 
",neut
"shane bradley , who is fixated on ideas of luck and destiny , tries to win the girl of his dreams . 
",neut
"now , years later matt goes away for weekend with his new girlfriend dawn . 
",neut
"five years later "" the bride "" awakens from the coma the assassins left her in and heads out to seek bloody revenge . 
",neut
"as the main character , the chosen one , oedekerk sets off to avenge the deaths of his parents at the hands of kung-fu legend master pain . 
",neut
"have you ever met that certain someone that made your heart drop the moment you met ? 
",neut
"matters are complicated still further when beckinsale finds herself falling in love with oldman's character . 
",neut
"kill , threaten , kidnap , maim , murder , steal . . . 
",neut
"it would seem that nothing is capable of distracting scotty johns from working on his much-anticipated second book . 
",neut
"david banner is performing regeneration experiments and uses himself as a guinea pig . 
",neut
"leading his army of women into the surrounding mountain glens , dionysus casts a spell on the city's females , who abandon their husbands and fathers in order to engage in forbidden revels . 
",neut
"jim , stifler and finch return in the last american pie movie . 
",neut
"he encounters woody , a tow truck driver who sends him down a dead-end that is the black road . 
",neut
"a faction of political separatists , led by count dooku , attempts to assassinate her . 
",neut
"with voices of poetry , burk juxtaposes thoughts of one's typical ordeals with imagery of what some might consider a defining moment in life . 
",neut
"jonah loves his job , until the day comes when he has to deliver a message to the people of nineveh . 
",neut
"ricki , a "" lesbian assassin "" , is sent to oversee gigli's job and make sure he doesn't screw it up . 
",neut
"tired , bruised and out of breath , they finally free the professor and arrive at the temple of faramundi scant minutes before gallo and his men . 
",neut
"the two wind up in a deserted warehouse where they witness a diamond scam in action , caught in the midst they put their differences aside to team up and detain the looters . 
",neut
"but for one celebrant this holy week is different . 
",neut
"when the chemical sisters , montreal's fabulous club kid duo find an unconscious naked boy on their way out from yet another jetset event , they decide to bring him home and take matters into their own glittery hands . 
",neut
"his songs are no longer seen as top grade . 
",neut
"while they think they are driving out the rojas , a local gang that runs the meth trade for bosses in cabo san lucas , rikki is running an elaborate double-cross on his own family . 
",neut
"most of them realize it is counterfeit , but too late to take action . 
",neut
"he also tries to cope with the recent death of his 6 year old son jacob , whose presence can still be felt in the house . 
",neut
"the fact that the filmmakers family is integral to this slice of life takes us that much closer to it all . 
",neut
"they start dating and quickly fall in and out of love , the waitress returning to china . 
",neut
"immediately they are further sent to romulus , where a new praetor , shinzon , a half-reman cloned from captain picard , appears to want peace with the federation . 
",neut
"as laughable is his vanity fair interview , incriminating of "" the gay mafia "" for his fall , "" my dinner with ovitz "" is even funnier as it rams the actual interview headlong into coppola's "" godfather . "" 
",neut
"a young great gatsbyish hip hopper named summer g falls for a middle to upper class sister while in college . 
",neut
"this only leads to increased anxiety and fear in nicholas . 
",neut
"in the mean time , budcasso invites his spirit-fighting ex-wife mrs . bud lung ( troublesome night regular lan law ) to the wedding . 
",neut
"19-year old free spirit daphne reynolds ( amanda bynes ) , raised by her equally free-spirited mother , goes to england to meet her father , who turns out to be a wealthy aristocrat ( colin firth ) . 
",neut
"dennis clegg is in his thirties and lives in a halfway house for the mentally ill in london . 
",neut
"when he kills a butterfly , he unknowingly sets off a chain reaction that will erase humanity from existence . 
",neut
"awash with melancholy and disillusionment , it's a tall task to love hong kong . 
",neut
"the worst pain for him is the next 5 minutes of living . 
",neut
"gigli abducts the brother from his mental hospital and holds him hostage in his apartment . 
",neut
"a young korean war veteran returns home to find his parents have died and his wife has left him for another man . 
",neut
"when she understands that the killer is very intelligent and organized , she elaborates a strategy to arrest him . 
",neut
"bear has never gotten over the separation from his wife and daughter after having been convicted for armed robbery and homicide and sent to prison . 
",neut
"tuck everlasting is the story of a girl named winnie and a family who she meets , the tucks . 
",neut
"an entertaining and topical adventure drama which responds to our society's fascination with doomsday cults , survivalist sects and their messianic leaders . 
",neut
"the action of the story derives from the collision of these two competing worlds . 
",neut
"j&#243 ; hann is a 30 year old guesthouse owner isolated from the outside world following the death of his father . 
",neut
"she entranced the founder of the museum of art ( masp ) where the fashion parade was being held , and her career was hence launched . 
",neut
"hakimi stops his car and sees a girl is trapped in the car . 
",neut
"on the train home from chauncey academy for the thanksgiving weekend , oscar confides in his best friend that he has plans for this vacation--he will win the heart of his true love . 
",neut
"dex and eric are ordinary , twenty-something guys dealing with work , relationships and friends . 
",neut
"an alcoholic former schoolteacher hired as security finds himself a reluctant mentor to mouse , the impressionable boy ward of the pimp dewey . 
",neut
"fly along with skilled helicopter crews as they carry out sea and mountain rescues , apprehend drug smugglers , repair high voltage lines , save endangered animals , deliver humanitarian aid , and undertake a reconnaissance mission . 
",neut
"to protect her relationship with john , she "" ditches "" her son , having him arrested and locked in a correctional "" mental "" facility , before coercing her older brother burt , who lives in hollywood , to take him . 
",neut
"in a world besieged by world war ii , wendy , now grown up , tries to give her own children hope by telling them of her magical experiences with peter pan in never land . 
",neut
"to what sweet end is the story of a reunion between mary and david , who were once passionate lovers - for two weeks , thirty-five years ago and haven't seen each other since . 
",neut
"soon after , the old man reappears on the shore and is greeted by his wife , who has been waiting for his arrival . 
",neut
"billy is more a showbiz p . r agent than a legal lawyer and minipulates the tabloids into thinking roxie is no more than an innocent 'good time girl' who took the wrong path , than a scheming murderess . 
",neut
"only nurse bloom knows the spells to ensure that the child will see benevolent spirits , not evil ones , but she hasn't bargained for lena's mother , who scoffs at 'old time ideas' and discreetly disposes of the special tea the nurse has brewed . 
",neut
"however after his son is witness to a killing he has done mike sullivan finds him self on the run trying to save the life of his son and at the same time looking for revenge on those who wronged him . 
",neut
"a peruvian film that tells the story of the bank robberies' legend , orlando gonz&#225 ; les best known as django . 
",neut
"a woman stands on the shore , looking off into the flooded valley where her friends and neighbors once lived . 
",neut
"the complex computer shuts down the base to prevent infection . 
",neut
"also , there are motorcyclists around to bring momentum to the players . 
",neut
"things never seem to be the way they really are . 
",neut
"they discover that the one sho stole them is a rival of the criminal , while they go to every single one of his associates to find who has them . 
",neut
"together , they must battle a band of the world's most treacherous pirates , led by the cursed captain barbossa , in order to save elizabeth , the love of will's life , as well as recover the lost treasure that jack seeks . 
",neut
"but what exactly is good and waht exactly is evil ? 
",neut
"welcome to peoplemovin . com , a leader in america's transient workforce , more commonly known as temporary employment . 
",neut
"however , the enemy terrorists learn of his secret identity and kidnap his girlfriend/fiancee ( gabriel macht ) . 
",neut
"what began as an audio-visual recording of the nine months of director jacqueline liebman's pregnancy as she and her boyfriend dealt with the fact that they were totally unprepared as parents . 
",neut
"when a harvard-educated cia agent is killed during an operation , the secret agency recruits his twin brother ( chris rock ) , an african-american street-wise hustler with no idea what's coming for him . 
",neut
"an undercover narc dies , the investigation stalls , so the detroit p . d . 
",neut
"jacki resolves to play this one last gig and then throw in the towel if she does not find success . 
",neut
"nete's father moves in and puts even more strain on nete's family and everyday life . 
",neut
"standing by yourself tracks the movements and daily machinations of a group of outcast friends in their strip-mall new york state hometown . 
",neut
"the only thing that matters for him is break dancing . 
",neut
"thought visible and seemingly accessible , every attempt to enter this island has resulted in disaster . 
",neut
"based very loosely on robert ludlum's novel , the bourne identity is the story of a man whose wounded body is discovered by fisherman who nurse him back to health . 
",neut
"area k is an israeli controlled marine zone isolating the gaza strip and preventing palestinian fishermen from entering israel , egypt and international waters . 
",neut
"the human stain is the story of coleman silk ( hopkins ) , a classics professor with a terrible secret that is about to shatter his life in a small new england town . 
",neut
" "" it's like those monster vampire high school kind of movies , only here the monsters are jesus-freak teenagers , "" says michael stipe , the former r . e . m . 
",neut
"dennis , nicknamed "" spider "" by his mother has been institutionalized with acute schizophrenia for some 20 years . 
",neut
"doctors aren't supposed to play god , but someone's decision years before has driven a killer over the brink . 
",neut
"francis takes advantage of his wife success and reputation to bring his ambitious casino project of its feet . 
",neut
"each has their reason for wanting to be there - fame , money , adventure . 
",neut
"a retired emerald smuggler , robert , is convinced by his contact in brazil to come to rio and assist him with a lucrative deal . 
",neut
"frank ( played by sal mazzotta ) , family under-bossman vito lupo ( played by leo rossi ) , and consigliori danny defino ( played by johnny williams ) try to find out who is responsible for usurping the family's power before they implode from their own internal strife . 
",neut
"black picket fence is director's sergio goes' poignant portrait of the bleak realities of life in the public housing projects of brooklyn's east new york , one of the inner city's most dangerous and violent neighborhoods . 
",neut
"what if hitler didn't die in berlin at the end of the war ? 
",neut
"filled with hatred she seduced louie , her classmate who had a crush on her , to get back at him - and as a favor she would go to bed with him . 
",neut
"the guy , named cheung , is in his thirties . 
",neut
"dr . david banner , while working on a military project to create a super-soldier of sorts , purposefully modifies his own dna . 
",neut
"he talks in her voice at the dinner table and wears her fur coat to bed . 
",neut
"beautiful , gentle people of all color of skin surround her and care about her . 
",neut
"desperate to help his son , scott heads back home , leaving a substitute claus to watch over things at the pole . 
",neut
"he trades his grandmother's only treasure for a video game ; he throws his food and he throws tantrums . 
",neut
"a fast-paced look into the world of underground street-racing . 
",neut
"the story is set against a relationship that forms between a runaway american teenage boy and a brazilian teenage girl who meet in the drug and gang controlled slums of rio de janeiro . 
",neut
"now grown up , caitlin ( emma caulfield ) calls kyle ( chaney kley ) because her little brother michael ( lee cormie ) is going through the same things he did as a boy , and wants his help . 
",neut
"the police investigation that followed - led by detectives sam nico ( ted levine ) , louis cruz ( frankie g . ) and mike peters ( m . c . 
",neut
"people on the site work monotonously , in a fervor , then dazed , trance-like . 
",neut
"soon after , christin returns as a fierce ghost , and begins to kill all in her path at the hotel as a means for revenge . 
",neut
"as the days count down , francis comes face to face with his own fear of failure and the spectre of selling out his dreams . 
",neut
"but dr . jookiba and the earth expert pleakley never could have guessed that earth girl lilo adopts the experiment as dog , gives him the name stitch and actually causes an emotional development in the little beast . 
",neut
"enter sonia kapoor , the daughter of the 10th richest man in the world . 
",neut
"in a fantasy life she lives through her sketchbook , laura's world is exotic , bright and enchanting . 
",neut
"with the recent release of full-length features like "" princess mononoke "" and the 2001 dvd release of the classic "" akira , "" japanese animation is fast becoming a leading force in the american entertainment industry . 
",neut
"landon ( west ) hung with the in-crowd an aimless , moody , reckless guy who breezed through school on looks and bravado and had no plans , no future and no faith in himself . 
",neut
"graffiti removal has subverted the common obstacles blocking creative expression and become one of the more intriguing and important art movements of our time . 
",neut
"he sabotages evan and gets the job of anchorman . 
",neut
"set against the majestic landscape of canada's bay of fundy and the highest tides in the world , black swan is a dark comedy that weaves the innocent world of childhood , against the adult world of love , betrayal and murder . 
",neut
"it tells a hard-hitting story of some of the people's lives which are affected by letters delivered by "" the lady in red "" night mail train from london to scotland . 
",neut
"she's an artist , but hasn't picked up a brush in a year . 
",neut
"he tries to distract charlie any way he can . 
",neut
"john , and world-famous ice skating star , elena , are about to sign divorce papers when they realise that , in spite of everything happening around them , their love is worth fighting for . 
",neut
"enter jack ( sarsgaard ) , a wall street investment banker with a business proposal that has victor's name ( and money ) written all over it . 
",neut
"we open on the main character alex , a chef , put out by her effort for the shower and struggling with her desire to make things "" picture-perfect . "" 
",neut
"based on the 1997 john king novel of the same name with a rather odd synopsis : "" a first novel about a seasoned chelsea football club hooligan who represents a disaffected society operating by brutal rules . 
",neut
"this "" league "" comprises seafarer/inventor captain nemo ( shah ) , vampiress mina harker ( wilson ) , an invisible man named rodney skinner ( curran ) , american secret service agent tom sawyer ( west ) , the ageless and invincible dorian gray ( townsend ) , and the dangerous split personality of dr . jekyll/mr . 
",neut
"in order to make something of himself , dean assumes another identity and manages to enter high society . 
",neut
"this includes never-before-seen images of tests of modified v-1s at point mugu naval air station , and the flight test program for regulus at edwards air force base in 1950 . 
",neut
